port,overseas_unloaded_000t,overseas_loaded_000t,overseas_transhipment_000t,overseas_total_000t,coastal_unloaded_000t,coastal_loaded_000t,coastal_transhipment_000t,coastal_total_000t,grand_unloaded_000t,grand_loaded_000t,grand_transhipment_000t,grand_total_000t
Deendayal,90260,31972,3,122236,4580,10732,12,15325,94841,42704,15,137561
Mumbai,32893,3364,4749,41006,8633,5761,8208,22602,41526,9125,12957,63608
J.L. Nehru,43148,34551,1185,78884,2639,2049,289,4977,45787,36600,1474,83861
Mormugao,12743,2858,0,15601,1084,649,0,1733,13827,3507,0,17334
New Mangalore,24594,7747,0,32341,7299,1777,0,9076,31893,9524,0,41417
Cochin,19818,2598,733,23150,7186,3820,1100,12106,27004,6418,1833,35256
V.O. Chidambaranar,17516,7464,490,25470,11081,1491,0,12572,28597,8954,490,38041
Chennai,27897,15135,0,43032,4387,1530,0,5917,32284,16665,0,48949
Kamarajar,17286,7572,1148,26006,17501,0,0,17501,34787,7572,1148,43507
Visakhapatnam,42707,11398,495,54600,3653,14805,692,19150,46360,26203,1187,73750
Paradip,65456,11449,33,76938,2281,56142,0,58423,67737,67591,33,135361
SMP (Haldia Dock Complex),39716,3940,0,43656,3281,1671,0,4952,42997,5611,0,48608
SMP (Kolkata Dock System),5766,6235,4659,16660,191,200,0,391,5957,6435,4659,17051
All Ports,439801,146283,13495,599579,73796,100627,10302,184725,513597,246910,23797,784305
