year,Deendayal,Mumbai,J.L.Nehru,Mormugao,New Mangalore,Cochin,V.O.Chidambaranar,Chennai,Kamarajar,Visakhapatnam,Paradip,SMP(Kolkata/Haldia),total_mt
1990-91,19.69,28.90,2.02,14.91,8.02,7.28,5.08,24.52,-,19.42,6.88,14.95,151.67
1991-92,21.00,26.26,2.79,15.10,8.27,7.48,5.87,25.05,-,21.52,7.30,16.00,156.64
1992-93,22.91,28.95,3.01,16.31,7.09,7.98,6.22,25.33,-,22.76,7.60,18.34,166.50
1993-94,24.50,30.51,3.38,18.72,8.63,7.62,6.70,26.54,-,25.59,8.33,18.50,179.02
1994-95,26.50,30.67,5.01,18.88,8.01,8.63,8.04,29.46,-,30.03,10.12,20.54,195.89
1995-96,30.34,33.92,6.87,18.09,8.88,11.50,9.29,30.72,-,32.82,11.26,21.52,215.21
1996-97,33.73,33.73,8.07,17.31,12.45,11.74,9.18,31.85,-,34.50,11.58,23.12,227.26
1997-98,38.90,32.10,8.90,21.18,15.28,12.32,9.98,35.53,-,36.01,13.30,28.16,251.66
1998-99,40.64,30.97,11.72,18.02,14.21,12.68,10.15,35.20,-,35.65,13.11,29.39,251.74
1999-00,46.30,30.41,14.98,18.23,17.60,12.84,9.99,37.44,-,39.51,13.64,31.03,271.97
2000-01,36.74,27.06,18.58,19.63,17.89,13.14,12.28,41.22,-,44.69,19.90,30.00,281.13
2001-02,37.73,26.43,22.52,22.93,17.50,12.06,13.02,36.12,3.40,44.34,21.13,30.40,287.58
2002-03,40.63,26.80,26.84,23.65,21.43,13.02,13.29,33.69,8.49,46.01,23.90,35.80,313.55
2003-04,41.52,30.00,31.19,27.87,26.67,13.57,13.68,36.71,9.28,47.74,25.31,41.26,344.80
2004-05,41.55,35.19,32.81,30.66,33.89,14.10,15.81,43.81,9.48,50.15,30.10,46.21,383.76
2005-06,45.91,44.19,37.84,31.69,34.45,13.89,17.14,47.25,9.16,55.80,33.11,53.14,423.57
2006-07,52.98,52.36,44.82,34.24,32.04,15.26,18.00,53.41,10.71,56.39,38.52,55.05,463.78
2007-08,64.92,57.04,55.84,35.13,36.02,15.81,21.48,57.15,11.56,64.60,42.44,57.33,519.31
2008-09,72.22,51.88,57.30,41.68,36.69,15.49,22.01,57.49,11.50,63.91,46.41,54.22,530.80
2009-10,79.50,54.54,60.76,48.85,35.53,17.43,23.79,61.06,10.70,65.50,57.01,46.42,561.09
2010-11,81.88,54.59,64.32,50.06,31.55,17.87,25.73,61.46,11.01,68.04,56.04,47.54,570.09
2011-12,82.50,56.19,65.73,39.05,32.94,20.09,28.11,55.71,14.96,67.42,54.25,43.25,560.19
2012-13,93.62,58.04,64.49,17.74,37.04,19.85,28.26,53.40,17.89,59.04,56.55,39.93,545.83
2013-14,87.01,59.18,62.33,11.74,39.37,20.89,28.64,51.11,27.34,58.50,68.00,41.39,555.49
2014-15,92.50,61.66,63.80,14.71,36.57,21.60,32.41,52.54,30.25,58.00,71.01,46.29,581.34
2015-16,99.46,61.12,64.03,20.78,35.58,22.10,36.85,50.06,32.21,57.03,76.40,50.29,605.89
2016-17,105.44,63.13,62.15,33.18,39.94,25.01,38.46,50.21,30.02,61.02,88.96,50.95,648.47
2017-18,110.10,62.90,66.00,26.90,42.06,29.14,36.58,51.88,30.45,63.54,102.03,57.89,679.47
2018-19,115.40,60.63,70.71,17.68,42.51,32.02,34.34,53.01,34.50,65.30,109.30,63.76,699.17
2019-20,122.61,60.70,68.45,16.02,39.15,34.04,36.08,46.76,31.75,72.72,112.69,63.98,704.93
2020-21,117.57,53.32,64.81,21.99,36.50,31.50,31.79,43.55,25.89,69.84,114.55,61.37,672.68
2021-22,127.10,59.89,76.00,18.46,39.30,34.55,34.12,48.56,38.74,69.03,116.13,58.18,720.05
2022-23,137.56,63.61,83.86,17.33,41.42,35.26,38.04,48.95,43.51,73.75,135.36,65.66,784.30
