date,location,latitude,longitude,temperature_max_c,temperature_min_c,precipitation_mm,max_wind_kmh,weather_code
2026-08-04,Dhamra,20.78,86.95,31.0,25.0,0.0,18.0,1
2026-08-05,Dhamra,20.78,86.95,32.3,25.6,2.4,21.8,2
2026-08-06,Dhamra,20.78,86.95,31.7,25.0,8.6,25.5,61
2026-08-07,Dhamra,20.78,86.95,31.2,25.6,0.0,19.2,3
2026-08-08,Dhamra,20.78,86.95,32.4,25.0,14.2,23.0,63
2026-08-09,Dhamra,20.78,86.95,31.9,25.6,3.1,26.8,80
2026-08-10,Dhamra,20.78,86.95,31.4,25.0,0.0,20.5,1
2026-08-11,Dhamra,20.78,86.95,32.6,25.6,5.8,24.2,61
2026-08-12,Dhamra,20.78,86.95,32.1,25.0,0.0,18.0,2
2026-08-13,Dhamra,20.78,86.95,31.5,25.6,1.2,21.8,3
2026-08-14,Dhamra,20.78,86.95,31.0,25.0,0.0,25.5,1
2026-08-15,Dhamra,20.78,86.95,32.3,25.6,2.4,19.2,2
2026-08-16,Dhamra,20.78,86.95,31.7,25.0,8.6,23.0,61
2026-08-17,Dhamra,20.78,86.95,31.2,25.6,0.0,26.8,3
2026-08-18,Dhamra,20.78,86.95,32.4,25.0,14.2,20.5,63
2026-08-19,Dhamra,20.78,86.95,31.9,25.6,3.1,24.2,80
2026-08-20,Dhamra,20.78,86.95,31.4,25.0,0.0,18.0,1
2026-08-21,Dhamra,20.78,86.95,32.6,25.6,5.8,21.8,61
2026-08-22,Dhamra,20.78,86.95,32.1,25.0,0.0,25.5,2
2026-08-23,Dhamra,20.78,86.95,31.5,25.6,1.2,19.2,3
2026-08-24,Dhamra,20.78,86.95,31.0,25.0,0.0,23.0,1
2026-08-25,Dhamra,20.78,86.95,32.3,25.6,2.4,26.8,2
2026-08-26,Dhamra,20.78,86.95,31.7,25.0,8.6,20.5,61
2026-08-27,Dhamra,20.78,86.95,31.2,25.6,0.0,24.2,3
2026-08-28,Dhamra,20.78,86.95,32.4,25.0,14.2,18.0,63
2026-08-29,Dhamra,20.78,86.95,31.9,25.6,3.1,21.8,80
2026-08-30,Dhamra,20.78,86.95,31.4,25.0,0.0,25.5,1
2026-08-31,Dhamra,20.78,86.95,32.6,25.6,5.8,19.2,61
2026-09-01,Dhamra,20.78,86.95,32.1,25.0,0.0,23.0,2
2026-09-02,Dhamra,20.78,86.95,31.5,25.6,1.2,26.8,3
2026-08-04,Paradip,20.32,86.61,31.0,25.0,0.0,18.0,1
2026-08-05,Paradip,20.32,86.61,32.3,25.6,2.4,21.8,2
2026-08-06,Paradip,20.32,86.61,31.7,25.0,8.6,25.5,61
2026-08-07,Paradip,20.32,86.61,31.2,25.6,0.0,19.2,3
2026-08-08,Paradip,20.32,86.61,32.4,25.0,14.2,23.0,63
2026-08-09,Paradip,20.32,86.61,31.9,25.6,3.1,26.8,80
2026-08-10,Paradip,20.32,86.61,31.4,25.0,0.0,20.5,1
2026-08-11,Paradip,20.32,86.61,32.6,25.6,5.8,24.2,61
2026-08-12,Paradip,20.32,86.61,32.1,25.0,0.0,18.0,2
2026-08-13,Paradip,20.32,86.61,31.5,25.6,1.2,21.8,3
2026-08-14,Paradip,20.32,86.61,31.0,25.0,0.0,25.5,1
2026-08-15,Paradip,20.32,86.61,32.3,25.6,2.4,19.2,2
2026-08-16,Paradip,20.32,86.61,31.7,25.0,8.6,23.0,61
2026-08-17,Paradip,20.32,86.61,31.2,25.6,0.0,26.8,3
2026-08-18,Paradip,20.32,86.61,32.4,25.0,14.2,20.5,63
2026-08-19,Paradip,20.32,86.61,31.9,25.6,3.1,24.2,80
2026-08-20,Paradip,20.32,86.61,31.4,25.0,0.0,18.0,1
2026-08-21,Paradip,20.32,86.61,32.6,25.6,5.8,21.8,61
2026-08-22,Paradip,20.32,86.61,32.1,25.0,0.0,25.5,2
2026-08-23,Paradip,20.32,86.61,31.5,25.6,1.2,19.2,3
2026-08-24,Paradip,20.32,86.61,31.0,25.0,0.0,23.0,1
2026-08-25,Paradip,20.32,86.61,32.3,25.6,2.4,26.8,2
2026-08-26,Paradip,20.32,86.61,31.7,25.0,8.6,20.5,61
2026-08-27,Paradip,20.32,86.61,31.2,25.6,0.0,24.2,3
2026-08-28,Paradip,20.32,86.61,32.4,25.0,14.2,18.0,63
2026-08-29,Paradip,20.32,86.61,31.9,25.6,3.1,21.8,80
2026-08-30,Paradip,20.32,86.61,31.4,25.0,0.0,25.5,1
2026-08-31,Paradip,20.32,86.61,32.6,25.6,5.8,19.2,61
